strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,781105,-195,Long Unwinding,22000-22200
22200,0,0,N/A,74295,1430,Short Buildup,22200-22400
22400,0,0,N/A,51870,-455,Long Unwinding,22400-22600
22600,0,0,N/A,77740,-1495,Long Unwinding,22600-22800
22800,0,0,N/A,119275,-5265,Long Unwinding,22800-23000
23000,5135,130,Short Buildup,626080,-62725,Long Unwinding,23000-23200
23200,130,-130,Long Unwinding,557440,40755,Short Buildup,23200-23400
23400,390,0,N/A,305695,-20735,Long Unwinding,23400-23600
23600,3055,-325,Long Unwinding,761605,15535,Short Buildup,23600-23800
23800,56030,-9165,Short Covering,580060,-43810,Long Unwinding,23800-24000
24000,366080,-122200,Short Covering,851825,-20605,Long Unwinding,24000-24200
24200,953420,17420,Long Buildup,859690,194610,Short Buildup,24200-24400
24400,736515,14300,Long Buildup,349505,48165,Short Buildup,24400-24600
24600,964665,31590,Long Buildup,69355,845,Short Buildup,24600-24800
24800,893490,53430,Short Buildup,26130,-130,Long Unwinding,24800-25000
25000,1093300,1755,Short Buildup,28730,520,Short Buildup,25000-25200
25200,569660,-20865,Long Unwinding,260,-195,Long Unwinding,25200-25400
25400,259740,-26195,Long Unwinding,390,130,Short Buildup,25400-25600
25600,66820,-1105,Long Unwinding,0,-780,Long Unwinding,25600-25800
25800,155220,-975,Long Unwinding,0,0,N/A,25800-26000
26000,257335,-975,Long Unwinding,3055,-65,Long Unwinding,26000-26200
26200,28145,0,N/A,0,0,N/A,26200-26400
26400,17745,-130,Long Unwinding,0,0,N/A,26400-26600
26600,5980,195,Short Buildup,0,0,N/A,26600-26800
26800,9425,0,N/A,0,0,N/A,26800-27000
27000,48035,-10530,Short Covering,0,0,N/A,27000-27200
27200,14950,65,Long Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
