strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,513240,-2795,Long Unwinding,2594020,63375,Short Buildup,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,97760,97760,Short Buildup,21400-21600
21600,46735,-5200,Long Unwinding,883675,60970,Short Buildup,21600-21800
21800,130,65,Short Buildup,620945,11700,Short Buildup,21800-22000
22000,809835,455,Short Buildup,3924765,283465,Short Buildup,22000-22200
22200,1105,0,N/A,479635,31395,Short Buildup,22200-22400
22400,195,-65,Long Unwinding,598195,176280,Short Buildup,22400-22600
22600,3835,1365,Short Buildup,1100320,232505,Short Buildup,22600-22800
22800,271830,20020,Short Buildup,1397370,133445,Short Buildup,22800-23000
23000,1126385,105105,Long Buildup,6982860,439400,Short Buildup,23000-23200
23200,1192880,303680,Long Buildup,3323970,803075,Short Buildup,23200-23400
23400,2041910,-256750,Short Covering,2056145,-198705,Long Unwinding,23400-23600
23600,1950325,117130,Long Buildup,1503840,-38350,Long Unwinding,23600-23800
23800,3768635,611520,Long Buildup,1711580,-45760,Long Unwinding,23800-24000
24000,9719775,520065,Long Buildup,5875360,-80730,Long Unwinding,24000-24200
24200,3717740,31460,Long Buildup,1754415,-25675,Long Unwinding,24200-24400
24400,2760615,-21645,Short Covering,1931150,-23530,Long Unwinding,24400-24600
24600,1498120,-20410,Short Covering,673660,-8320,Short Covering,24600-24800
24800,1076010,-38740,Long Unwinding,342810,-4355,Short Covering,24800-25000
25000,5034965,-100035,Long Unwinding,2033325,-18980,Long Unwinding,25000-25200
25200,487565,-33540,Short Covering,79950,-1040,Short Covering,25200-25400
25400,217165,22490,Short Buildup,26260,-520,Long Unwinding,25400-25600
25600,133575,-8190,Long Unwinding,31070,-65,Long Unwinding,25600-25800
25800,320385,-1690,Long Unwinding,20865,-65,Long Unwinding,25800-26000
26000,3355575,-256880,Long Unwinding,1969275,-22945,Long Unwinding,26000-26200
26200,176605,-715,Long Unwinding,37505,455,Short Buildup,26200-26400
26400,36920,-5135,Long Unwinding,3575,-65,Long Unwinding,26400-26600
26600,38610,-3120,Long Unwinding,0,0,N/A,26600-26800
26800,2275,0,N/A,1300,-65,Long Unwinding,26800-27000
27000,1663935,-39455,Long Unwinding,1496135,-585,Long Unwinding,27000-27200
27200,63310,6695,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,272095,-125,Long Unwinding,137345,-1560,Long Unwinding,30000-30200
