strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,4745,-455,Long Unwinding,3515915,-534365,Short Covering,22000-22200
22200,0,0,N/A,629850,41665,Long Buildup,22200-22400
22400,0,0,N/A,190645,-22035,Long Unwinding,22400-22600
22600,0,0,N/A,245765,22425,Long Buildup,22600-22800
22800,0,0,N/A,906750,-64870,Long Unwinding,22800-23000
23000,44460,-1560,Short Covering,5730855,1181765,Long Buildup,23000-23200
23200,14625,0,N/A,1875900,231400,Short Buildup,23200-23400
23400,14365,0,N/A,2261155,305240,Short Buildup,23400-23600
23600,44330,910,Short Buildup,3161145,278720,Short Buildup,23600-23800
23800,263510,99255,Long Buildup,5417555,860860,Short Buildup,23800-24000
24000,1900080,947700,Long Buildup,7829575,2194660,Short Buildup,24000-24200
24200,12513800,8862945,Long Buildup,9095840,2897895,Short Buildup,24200-24400
24400,13740935,5043675,Long Buildup,2673385,-152035,Long Unwinding,24400-24600
24600,7745075,1701895,Long Buildup,604630,455,Short Buildup,24600-24800
24800,7593040,204035,Short Buildup,147030,-5395,Short Covering,24800-25000
25000,11733735,2831855,Short Buildup,367770,28405,Short Buildup,25000-25200
25200,5922865,2890485,Short Buildup,39780,65,Short Buildup,25200-25400
25400,2516280,562835,Short Buildup,33995,-3185,Long Unwinding,25400-25600
25600,2912065,766090,Short Buildup,1040,-65,Long Unwinding,25600-25800
25800,1936675,154050,Short Buildup,585,-65,Long Unwinding,25800-26000
26000,3614650,-513435,Long Unwinding,163280,195,Short Buildup,26000-26200
26200,163930,1950,Short Buildup,0,-65,Long Unwinding,26200-26400
26400,111280,33410,Short Buildup,0,0,N/A,26400-26600
26600,53755,6565,Short Buildup,0,0,N/A,26600-26800
26800,53625,29315,Short Buildup,0,0,N/A,26800-27000
27000,236925,-69940,Long Unwinding,0,-65,Long Unwinding,27000-27200
27200,229515,-120250,Long Unwinding,2015,-65,Long Unwinding,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
