strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,1022450,287105,Short Buildup,21400-21600
21600,0,0,N/A,86255,70200,Short Buildup,21600-21800
21800,0,0,N/A,250640,188305,Long Buildup,21800-22000
22000,9490,0,N/A,534690,249600,Long Buildup,22000-22200
22200,0,0,N/A,188240,24570,Long Buildup,22200-22400
22400,0,0,N/A,227760,14560,Long Buildup,22400-22600
22600,65,65,Short Buildup,771225,470860,Short Buildup,22600-22800
22800,2210,0,N/A,405925,93925,Long Buildup,22800-23000
23000,140790,2665,Short Buildup,1065285,319735,Long Buildup,23000-23200
23200,90220,4485,Long Buildup,442195,155675,Short Buildup,23200-23400
23400,640965,222495,Short Buildup,733135,338325,Long Buildup,23400-23600
23600,623740,170235,Short Buildup,140660,22035,Long Buildup,23600-23800
23800,617955,179335,Short Buildup,41860,13715,Short Buildup,23800-24000
24000,1351480,172575,Short Buildup,83915,21190,Short Buildup,24000-24200
24200,398840,69745,Short Buildup,1820,65,Short Buildup,24200-24400
24400,183365,60905,Short Buildup,455,65,Short Buildup,24400-24600
24600,201890,20150,Short Buildup,65,-65,Long Unwinding,24600-24800
24800,115440,53755,Short Buildup,65,65,Short Buildup,24800-25000
25000,277875,59605,Short Buildup,5200,-390,Long Unwinding,25000-25200
25200,13520,8775,Short Buildup,0,0,N/A,25200-25400
25400,7280,3640,Long Buildup,0,0,N/A,25400-25600
25600,8775,2860,Short Buildup,0,0,N/A,25600-25800
25800,58175,1170,Short Buildup,0,0,N/A,25800-26000
26000,0,0,N/A,0,0,N/A,26000-26200
26200,0,0,N/A,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
