strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,2145,1950,Short Buildup,4053790,621140,Short Buildup,22000-22200
22200,0,0,N/A,358085,-4160,Long Unwinding,22200-22400
22400,0,0,N/A,148980,-26130,Short Covering,22400-22600
22600,0,0,N/A,209495,-55900,Short Covering,22600-22800
22800,0,0,N/A,1042600,713245,Long Buildup,22800-23000
23000,44200,6500,Long Buildup,3291145,1009970,Long Buildup,23000-23200
23200,12675,-65,Short Covering,1829360,767195,Long Buildup,23200-23400
23400,10660,845,Short Buildup,3605225,2402465,Short Buildup,23400-23600
23600,24895,12285,Long Buildup,3174080,620165,Short Buildup,23600-23800
23800,157560,55835,Long Buildup,2826915,95355,Short Buildup,23800-24000
24000,740090,183690,Long Buildup,3743675,1578330,Long Buildup,24000-24200
24200,4015050,1045850,Long Buildup,6737770,4225065,Long Buildup,24200-24400
24400,3122145,657150,Long Buildup,1395160,130325,Short Buildup,24400-24600
24600,3188770,817310,Long Buildup,340275,48360,Short Buildup,24600-24800
24800,4814095,1499875,Long Buildup,110175,22230,Short Buildup,24800-25000
25000,4650685,927355,Long Buildup,262470,81380,Short Buildup,25000-25200
25200,1373775,80340,Short Buildup,23400,18395,Long Buildup,25200-25400
25400,565955,123760,Short Buildup,29705,27755,Short Buildup,25400-25600
25600,1567800,807040,Long Buildup,1040,-65,Long Unwinding,25600-25800
25800,1054560,243360,Short Buildup,585,65,Short Buildup,25800-26000
26000,3451890,698100,Long Buildup,145015,39065,Short Buildup,26000-26200
26200,39000,7540,Short Buildup,0,-65,Long Unwinding,26200-26400
26400,18850,585,Short Buildup,0,0,N/A,26400-26600
26600,20280,13260,Long Buildup,0,0,N/A,26600-26800
26800,9425,-390,Long Unwinding,0,0,N/A,26800-27000
27000,86060,18135,Short Buildup,0,0,N/A,27000-27200
27200,124800,64480,Short Buildup,585,585,Short Buildup,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
