strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,4095,-715,Long Unwinding,741325,-1425125,Long Unwinding,21200-21400
21400,65,0,N/A,206635,-389415,Long Unwinding,21400-21600
21600,0,0,N/A,101725,-62140,Short Covering,21600-21800
21800,65,65,Short Buildup,179075,-14690,Short Covering,21800-22000
22000,223405,-10530,Long Unwinding,1728025,-753545,Short Covering,22000-22200
22200,260,0,N/A,158405,-141050,Long Unwinding,22200-22400
22400,2015,0,N/A,192725,-14170,Long Unwinding,22400-22600
22600,2275,0,N/A,210600,-49595,Long Unwinding,22600-22800
22800,4290,-65,Long Unwinding,544115,-282555,Long Unwinding,22800-23000
23000,163150,-9750,Short Covering,6107205,-236145,Short Covering,23000-23200
23200,13390,-975,Long Unwinding,2498340,169650,Long Buildup,23200-23400
23400,22555,-845,Short Covering,4293445,1112605,Short Buildup,23400-23600
23600,184665,-11895,Short Covering,5166005,1491685,Short Buildup,23600-23800
23800,586755,201955,Long Buildup,11040250,2922660,Short Buildup,23800-24000
24000,6919120,1681550,Long Buildup,25872535,9602125,Short Buildup,24000-24200
24200,50657295,34112845,Long Buildup,19531720,7263295,Short Buildup,24200-24400
24400,16672435,3612960,Long Buildup,2353520,-386100,Long Unwinding,24400-24600
24600,10662860,541450,Short Buildup,603590,-56225,Long Unwinding,24600-24800
24800,8788325,1316510,Short Buildup,290810,-35815,Long Unwinding,24800-25000
25000,14280435,1784770,Short Buildup,923715,-6695,Long Unwinding,25000-25200
25200,6659445,-102960,Short Covering,66560,-11830,Long Unwinding,25200-25400
25400,2022995,-57460,Long Unwinding,24700,-1950,Long Unwinding,25400-25600
25600,1534000,-722020,Long Unwinding,9035,-1235,Long Unwinding,25600-25800
25800,532285,-134420,Long Unwinding,5200,-1105,Long Unwinding,25800-26000
26000,3285035,-399880,Long Unwinding,1139385,-1495,Long Unwinding,26000-26200
26200,150345,-32955,Long Unwinding,19110,-910,Short Covering,26200-26400
26400,119275,7605,Short Buildup,65,-65,Long Unwinding,26400-26600
26600,158470,108485,Short Buildup,0,0,N/A,26600-26800
26800,59670,2210,Short Buildup,65,-65,Long Unwinding,26800-27000
27000,249210,6370,Short Buildup,33540,-2990,Long Unwinding,27000-27200
27200,329680,39585,Short Buildup,1105,-65,Long Unwinding,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
