strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,10010,-65,Long Unwinding,2063880,910065,Short Buildup,21200-21400
21400,65,-65,Long Unwinding,47320,975,Long Buildup,21400-21600
21600,0,0,N/A,39845,-1755,Short Covering,21600-21800
21800,65,-65,Long Unwinding,68575,3380,Short Buildup,21800-22000
22000,658060,-1950,Short Covering,2626845,133900,Long Buildup,22000-22200
22200,325,-65,Long Unwinding,323895,23205,Long Buildup,22200-22400
22400,2145,-130,Long Unwinding,153790,32695,Short Buildup,22400-22600
22600,1820,0,N/A,117325,12415,Long Buildup,22600-22800
22800,5460,0,N/A,360945,62205,Short Buildup,22800-23000
23000,456885,-12870,Long Unwinding,3181100,25480,Short Buildup,23000-23200
23200,25545,-195,Long Unwinding,586170,129740,Short Buildup,23200-23400
23400,21060,-845,Long Unwinding,624520,-68640,Long Unwinding,23400-23600
23600,214110,-910,Long Unwinding,1245010,258830,Short Buildup,23600-23800
23800,479635,-18330,Short Covering,2638220,330460,Short Buildup,23800-24000
24000,5678010,71630,Short Buildup,9075950,340405,Short Buildup,24000-24200
24200,1306955,-2080,Long Unwinding,3113890,183430,Short Buildup,24200-24400
24400,2540785,668135,Short Buildup,2687295,740480,Short Buildup,24400-24600
24600,2816840,-10855,Long Unwinding,1593800,-121615,Long Unwinding,24600-24800
24800,3229720,329810,Short Buildup,567905,33280,Short Buildup,24800-25000
25000,8460920,1135030,Short Buildup,2091050,-5850,Long Unwinding,25000-25200
25200,1859325,76960,Short Buildup,114205,-325,Long Unwinding,25200-25400
25400,1014260,181870,Short Buildup,20475,195,Short Buildup,25400-25600
25600,735735,184470,Short Buildup,16315,130,Long Buildup,25600-25800
25800,991120,335205,Short Buildup,12025,0,N/A,25800-26000
26000,4468685,469755,Short Buildup,2199860,-32955,Long Unwinding,26000-26200
26200,457470,2210,Short Buildup,44265,65,Short Buildup,26200-26400
26400,262145,19565,Short Buildup,65,-65,Long Unwinding,26400-26600
26600,54210,325,Short Buildup,0,0,N/A,26600-26800
26800,28210,0,N/A,65,-65,Long Unwinding,26800-27000
27000,107835,17615,Short Buildup,41665,585,Short Buildup,27000-27200
27200,46735,6435,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
