strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,2488720,631410,Long Buildup,22000-22200
22200,0,0,N/A,219960,27170,Short Buildup,22200-22400
22400,0,0,N/A,40820,11050,Long Buildup,22400-22600
22600,0,0,N/A,138125,28015,Short Buildup,22600-22800
22800,0,0,N/A,226915,12480,Long Buildup,22800-23000
23000,4095,4095,Short Buildup,873340,188110,Long Buildup,23000-23200
23200,195,195,Short Buildup,270595,105755,Short Buildup,23200-23400
23400,455,390,Short Buildup,229515,29120,Long Buildup,23400-23600
23600,16900,910,Short Buildup,462605,125840,Long Buildup,23600-23800
23800,14495,1430,Short Buildup,936650,290550,Long Buildup,23800-24000
24000,105495,12350,Short Buildup,1505465,218985,Long Buildup,24000-24200
24200,90415,12350,Short Buildup,718445,147420,Long Buildup,24200-24400
24400,377715,146705,Short Buildup,809640,170885,Long Buildup,24400-24600
24600,1309230,546130,Short Buildup,1144455,313625,Long Buildup,24600-24800
24800,828165,340340,Short Buildup,179725,50635,Long Buildup,24800-25000
25000,2180295,330330,Short Buildup,209690,42575,Long Buildup,25000-25200
25200,1142440,392860,Short Buildup,32240,910,Long Buildup,25200-25400
25400,1025050,195000,Short Buildup,1105,65,Short Buildup,25400-25600
25600,536055,282750,Short Buildup,780,-65,Long Unwinding,25600-25800
25800,342485,91390,Short Buildup,260,65,Short Buildup,25800-26000
26000,941720,444405,Short Buildup,3055,195,Short Buildup,26000-26200
26200,421980,202540,Short Buildup,0,0,N/A,26200-26400
26400,37375,-195,Long Unwinding,0,0,N/A,26400-26600
26600,7345,0,N/A,0,0,N/A,26600-26800
26800,61100,1690,Short Buildup,0,0,N/A,26800-27000
27000,5395,-715,Long Unwinding,0,0,N/A,27000-27200
27200,12805,390,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
