strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,856440,-54990,Long Unwinding,22200-22400
22400,0,0,N/A,1342445,71305,Short Buildup,22400-22600
22600,0,0,N/A,1157975,-220220,Long Unwinding,22600-22800
22800,585,-195,Long Unwinding,3927300,456300,Short Buildup,22800-23000
23000,66300,22425,Short Buildup,11360765,3054025,Short Buildup,23000-23200
23200,31395,20800,Long Buildup,9125415,5246020,Short Buildup,23200-23400
23400,370305,312065,Long Buildup,10470135,5784155,Short Buildup,23400-23600
23600,14399125,13763685,Long Buildup,39163605,29154450,Long Buildup,23600-23800
23800,33280650,16165695,Long Buildup,5395130,-3956095,Long Unwinding,23800-24000
24000,23475270,2327130,Short Buildup,2527785,-1413425,Long Unwinding,24000-24200
24200,15518165,322595,Short Buildup,1235455,-272480,Long Unwinding,24200-24400
24400,9558705,-564980,Long Unwinding,302055,-48685,Long Unwinding,24400-24600
24600,6522035,-744705,Long Unwinding,137020,-27820,Long Unwinding,24600-24800
24800,5367505,-2394795,Long Unwinding,41405,-8840,Long Unwinding,24800-25000
25000,11061570,-3523000,Long Unwinding,78195,-56875,Long Unwinding,25000-25200
25200,3557385,-961545,Long Unwinding,4940,-5980,Long Unwinding,25200-25400
25400,1375335,239655,Short Buildup,8840,-130,Long Unwinding,25400-25600
25600,641615,-220935,Long Unwinding,715,65,Short Buildup,25600-25800
25800,406900,-81640,Long Unwinding,390,-65,Long Unwinding,25800-26000
26000,1798225,-185315,Long Unwinding,46150,-53430,Long Unwinding,26000-26200
26200,125060,24765,Short Buildup,1300,-1105,Long Unwinding,26200-26400
26400,627575,-28145,Long Unwinding,1885,-65,Long Unwinding,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
