strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,419185,-26325,Long Unwinding,8677240,-382460,Short Covering,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,65,0,N/A,2342210,-264095,Short Covering,21400-21600
21600,42315,0,N/A,879255,-11180,Short Covering,21600-21800
21800,260,195,Short Buildup,1710605,389415,Long Buildup,21800-22000
22000,659230,-33475,Long Unwinding,7476885,143650,Short Buildup,22000-22200
22200,5265,-65,Long Unwinding,2985840,243880,Long Buildup,22200-22400
22400,2015,1300,Short Buildup,2443675,160745,Long Buildup,22400-22600
22600,11830,4355,Short Buildup,3024060,-393965,Short Covering,22600-22800
22800,309920,40430,Short Buildup,7482280,1082965,Long Buildup,22800-23000
23000,2503020,1167270,Short Buildup,11558940,-1116825,Short Covering,23000-23200
23200,13143910,11671985,Short Buildup,10190180,3981250,Long Buildup,23200-23400
23400,14202890,6609915,Short Buildup,5312320,-6282445,Short Covering,23400-23600
23600,6894095,-54210,Long Unwinding,1560455,-264680,Short Covering,23600-23800
23800,7493200,-680615,Short Covering,1398735,-104715,Short Covering,23800-24000
24000,18361265,3061760,Short Buildup,5218340,-43485,Short Covering,24000-24200
24200,7171710,1091480,Short Buildup,1175915,-283400,Long Unwinding,24200-24400
24400,4234425,169715,Short Buildup,1605825,-170235,Short Covering,24400-24600
24600,3495895,-221065,Long Unwinding,626535,-7410,Long Unwinding,24600-24800
24800,4241900,-104585,Long Unwinding,266630,-40560,Short Covering,24800-25000
25000,11598730,-229710,Long Unwinding,1408145,-308295,Short Covering,25000-25200
25200,786370,-124085,Long Unwinding,72865,-2665,Long Unwinding,25200-25400
25400,310375,-31785,Long Unwinding,21385,0,N/A,25400-25600
25600,235560,-54535,Long Unwinding,29120,0,N/A,25600-25800
25800,395005,-23010,Long Unwinding,19695,-1300,Long Unwinding,25800-26000
26000,3068125,-224530,Short Covering,1557305,-111735,Short Covering,26000-26200
26200,193505,26975,Long Buildup,36400,-195,Long Unwinding,26200-26400
26400,30485,8450,Short Buildup,2860,0,N/A,26400-26600
26600,40235,4290,Long Buildup,0,0,N/A,26600-26800
26800,11830,-2015,Long Unwinding,1300,-65,Long Unwinding,26800-27000
27000,1594775,-110825,Short Covering,1268635,-127790,Short Covering,27000-27200
27200,214825,44525,Long Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,268260,-11480,Short Covering,128180,65,Long Buildup,30000-30200
