strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,508430,-1625,Short Covering,3720340,28080,Long Buildup,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,65,65,Short Buildup,214500,10725,Short Buildup,21400-21600
21600,45110,-1300,Long Unwinding,969540,16835,Short Buildup,21600-21800
21800,130,65,Short Buildup,1037985,95420,Short Buildup,21800-22000
22000,781820,-2275,Long Unwinding,4497935,487955,Long Buildup,22000-22200
22200,1235,-65,Long Unwinding,854815,-274950,Short Covering,22200-22400
22400,520,0,N/A,1425515,-38610,Short Covering,22400-22600
22600,3380,-195,Long Unwinding,1716975,324350,Long Buildup,22600-22800
22800,297440,65,Long Buildup,2720510,675545,Long Buildup,22800-23000
23000,1266200,14755,Long Buildup,8042580,797145,Short Buildup,23000-23200
23200,1676480,64285,Long Buildup,3462680,312260,Long Buildup,23200-23400
23400,3820245,711165,Long Buildup,3059810,628160,Short Buildup,23400-23600
23600,2765295,249275,Long Buildup,1429870,59865,Short Buildup,23600-23800
23800,5041595,649090,Short Buildup,1674140,-325,Long Unwinding,23800-24000
24000,10888930,507650,Short Buildup,5415810,-18980,Short Covering,24000-24200
24200,3888430,399425,Short Buildup,1707485,-6175,Short Covering,24200-24400
24400,3199950,136760,Long Buildup,1909635,1495,Short Buildup,24400-24600
24600,1288495,80795,Short Buildup,661310,260,Long Buildup,24600-24800
24800,980135,-58955,Long Unwinding,336310,-975,Short Covering,24800-25000
25000,6414785,1028950,Long Buildup,1915935,-21060,Long Unwinding,25000-25200
25200,635245,86645,Long Buildup,78910,-65,Long Unwinding,25200-25400
25400,560300,3120,Short Buildup,25610,130,Short Buildup,25400-25600
25600,151255,10010,Long Buildup,30420,-65,Short Covering,25600-25800
25800,383565,85410,Long Buildup,20930,65,Short Buildup,25800-26000
26000,3336295,71695,Long Buildup,1891340,-5525,Long Unwinding,26000-26200
26200,143975,-11115,Long Unwinding,37050,65,Short Buildup,26200-26400
26400,20605,2340,Short Buildup,3380,0,N/A,26400-26600
26600,36530,-260,Long Unwinding,0,0,N/A,26600-26800
26800,2275,0,N/A,1300,-65,Long Unwinding,26800-27000
27000,1681290,-7475,Short Covering,1491845,-65,Short Covering,27000-27200
27200,82420,260,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,268950,130,Short Buildup,136435,0,N/A,30000-30200
