strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,3380,-520,Long Unwinding,1815060,-123695,Long Unwinding,22000-22200
22200,0,0,N/A,285155,22425,Short Buildup,22200-22400
22400,0,0,N/A,205595,10595,Short Buildup,22400-22600
22600,0,0,N/A,319410,9230,Short Buildup,22600-22800
22800,0,0,N/A,677430,-162630,Long Unwinding,22800-23000
23000,19240,-3250,Long Unwinding,2933710,-830765,Short Covering,23000-23200
23200,1560,0,N/A,1740115,-427180,Long Unwinding,23200-23400
23400,8125,65,Short Buildup,2723435,595010,Short Buildup,23400-23600
23600,17745,-650,Long Unwinding,4226235,834600,Short Buildup,23600-23800
23800,72345,13845,Long Buildup,7334795,1392560,Short Buildup,23800-24000
24000,1242345,841425,Long Buildup,16081000,4714450,Short Buildup,24000-24200
24200,24779820,23046140,Long Buildup,37499020,27096420,Short Buildup,24200-24400
24400,21906560,11444095,Long Buildup,3707340,-1093755,Long Unwinding,24400-24600
24600,14134055,3825185,Short Buildup,1149330,-125125,Long Unwinding,24600-24800
24800,10329085,1779765,Short Buildup,262145,-2145,Long Unwinding,24800-25000
25000,12904320,4186650,Short Buildup,173550,-44395,Long Unwinding,25000-25200
25200,3989895,-578565,Short Covering,48230,-2015,Long Unwinding,25200-25400
25400,2832960,-407485,Long Unwinding,15405,-195,Long Unwinding,25400-25600
25600,1795300,-425685,Short Covering,1495,-65,Long Unwinding,25600-25800
25800,705510,-86970,Long Unwinding,845,0,N/A,25800-26000
26000,2425150,-312715,Long Unwinding,59020,-14235,Long Unwinding,26000-26200
26200,221910,-40365,Short Covering,65,0,N/A,26200-26400
26400,82875,-38675,Long Unwinding,0,0,N/A,26400-26600
26600,74035,8775,Short Buildup,0,0,N/A,26600-26800
26800,84110,-18850,Long Unwinding,0,0,N/A,26800-27000
27000,350415,112320,Long Buildup,910,0,N/A,27000-27200
27200,299130,83200,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
