strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,9945,0,N/A,2987530,354705,Short Buildup,21200-21400
21400,65,-65,Long Unwinding,576355,518635,Short Buildup,21400-21600
21600,0,0,N/A,123435,11960,Short Buildup,21600-21800
21800,130,65,Short Buildup,104650,34450,Long Buildup,21800-22000
22000,567060,-56550,Long Unwinding,3300180,-159250,Long Unwinding,22000-22200
22200,455,65,Short Buildup,403845,47385,Long Buildup,22200-22400
22400,2145,130,Short Buildup,243490,27690,Short Buildup,22400-22600
22600,7800,6175,Short Buildup,351910,-2665,Short Covering,22600-22800
22800,5200,0,N/A,1732315,160940,Long Buildup,22800-23000
23000,399425,-26195,Long Unwinding,9194185,357435,Long Buildup,23000-23200
23200,21385,-4095,Long Unwinding,2605135,247455,Short Buildup,23200-23400
23400,29770,910,Short Buildup,2387840,594425,Long Buildup,23400-23600
23600,263705,23725,Short Buildup,4607525,1175395,Long Buildup,23600-23800
23800,1055925,433225,Short Buildup,6040905,1829360,Long Buildup,23800-24000
24000,10363990,4232410,Short Buildup,16343015,4932330,Long Buildup,24000-24200
24200,14900080,7974200,Short Buildup,7564895,769925,Long Buildup,24200-24400
24400,9752990,3081650,Short Buildup,3496285,10335,Long Buildup,24400-24600
24600,6857435,1669330,Short Buildup,1239225,-76895,Short Covering,24600-24800
24800,8043295,1956305,Long Buildup,593190,-32175,Short Covering,24800-25000
25000,14920425,1043055,Long Buildup,2028845,-69095,Short Covering,25000-25200
25200,6723080,2914275,Long Buildup,117845,-17290,Long Unwinding,25200-25400
25400,4366050,1693250,Long Buildup,38870,0,N/A,25400-25600
25600,4376580,1710865,Short Buildup,16510,65,Short Buildup,25600-25800
25800,1606085,341640,Short Buildup,12610,0,N/A,25800-26000
26000,7949825,-85865,Long Unwinding,2163525,-99060,Short Covering,26000-26200
26200,426010,1235,Short Buildup,43940,-130,Long Unwinding,26200-26400
26400,152880,-86970,Long Unwinding,65,-65,Long Unwinding,26400-26600
26600,60905,18460,Short Buildup,0,0,N/A,26600-26800
26800,34515,6695,Short Buildup,65,-65,Long Unwinding,26800-27000
27000,165750,32825,Short Buildup,42315,-195,Long Unwinding,27000-27200
27200,375960,80470,Short Buildup,1040,-130,Long Unwinding,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
