strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,580840,26455,Short Buildup,22200-22400
22400,0,0,N/A,249795,7800,Long Buildup,22400-22600
22600,0,-65,Long Unwinding,244335,113750,Short Buildup,22600-22800
22800,0,-65,Long Unwinding,407745,94315,Short Buildup,22800-23000
23000,36140,7865,Long Buildup,2046590,652990,Short Buildup,23000-23200
23200,2535,1105,Short Buildup,786110,153335,Short Buildup,23200-23400
23400,118170,112060,Long Buildup,1735240,470600,Short Buildup,23400-23600
23600,317330,274560,Long Buildup,1045785,259870,Short Buildup,23600-23800
23800,1680445,1388400,Long Buildup,1682980,666900,Short Buildup,23800-24000
24000,3421145,1434225,Long Buildup,2003040,460330,Short Buildup,24000-24200
24200,3170310,1256840,Long Buildup,439465,-34060,Long Unwinding,24200-24400
24400,1631240,-307255,Long Unwinding,171925,28405,Short Buildup,24400-24600
24600,1117220,-205985,Short Covering,49335,16120,Short Buildup,24600-24800
24800,919360,18005,Long Buildup,6110,2015,Short Buildup,24800-25000
25000,3330340,287560,Long Buildup,40820,21645,Short Buildup,25000-25200
25200,899925,445640,Long Buildup,65,65,Short Buildup,25200-25400
25400,518700,332865,Short Buildup,65,65,Short Buildup,25400-25600
25600,519935,288470,Short Buildup,0,0,N/A,25600-25800
25800,97045,20085,Short Buildup,130,-65,Long Unwinding,25800-26000
26000,672490,131235,Long Buildup,43615,28665,Long Buildup,26000-26200
26200,77350,13260,Short Buildup,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
