strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,106210,106210,Long Buildup,22200-22400
22400,0,0,N/A,2377635,-72215,Long Unwinding,22400-22600
22600,0,0,N/A,1549470,465335,Short Buildup,22600-22800
22800,0,0,N/A,2286700,-42380,Long Unwinding,22800-23000
23000,77025,-2275,Short Covering,10240295,1912430,Short Buildup,23000-23200
23200,16835,-1040,Long Unwinding,3882450,505050,Short Buildup,23200-23400
23400,63245,-2340,Short Covering,4054830,659945,Short Buildup,23400-23600
23600,295555,-15210,Short Covering,7679360,864760,Short Buildup,23600-23800
23800,3095040,442390,Long Buildup,8352045,525785,Short Buildup,23800-24000
24000,20867340,12111190,Long Buildup,10111660,5824390,Short Buildup,24000-24200
24200,13036465,2942030,Long Buildup,2805595,57135,Short Buildup,24200-24400
24400,7654270,1726075,Long Buildup,566410,20410,Short Buildup,24400-24600
24600,6352060,1065480,Short Buildup,258310,1040,Short Buildup,24600-24800
24800,5960305,-54145,Long Unwinding,84500,-390,Long Unwinding,24800-25000
25000,13365690,4237545,Short Buildup,212615,-4940,Long Unwinding,25000-25200
25200,3950375,171535,Short Buildup,15015,-325,Long Unwinding,25200-25400
25400,2516280,-130,Long Unwinding,16380,65,Short Buildup,25400-25600
25600,2163265,455,Short Buildup,130,-520,Long Unwinding,25600-25800
25800,515775,19370,Short Buildup,585,-65,Long Unwinding,25800-26000
26000,2705300,-284050,Long Unwinding,165815,-5655,Short Covering,26000-26200
26200,49660,5590,Short Buildup,2340,-65,Long Unwinding,26200-26400
26400,402610,-150605,Long Unwinding,715,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
