timestamp_ist,trade_date,expiry,spot,atm,pcr,max_pain,support,resistance,ce_oi_total,pe_oi_total,verdict
2026-09-03 09:15,2026-09-03,2026-09-08,23977.7,24000,0.75,24000,23000,24200,145316275,109153850,Leaning Bearish
2026-09-03 09:15,2026-09-03,2026-09-15,23977.7,24000,0.76,24000,23500,25000,15808130,12032930,Leaning Bearish
2026-09-03 09:15,2026-09-03,2026-09-22,23977.7,24000,0.65,24000,23500,24500,1723085,1119170,Leaning Bearish
2026-09-03 09:20,2026-09-03,2026-09-08,23969.75,23950,0.78,24000,23000,24200,149631105,116847900,Leaning Bearish
2026-09-03 09:20,2026-09-03,2026-09-15,23969.75,23950,0.77,24000,23500,25000,15694900,12074985,Leaning Bearish
2026-09-03 09:20,2026-09-03,2026-09-22,23969.75,23950,0.68,24000,23500,24500,1730105,1172795,Leaning Bearish
2026-09-03 09:25,2026-09-03,2026-09-08,23961.55,23950,0.78,24000,23000,24000,152128340,118544920,Leaning Bearish
2026-09-03 09:25,2026-09-03,2026-09-15,23961.55,23950,0.76,24000,23500,25000,15934100,12158185,Leaning Bearish
2026-09-03 09:25,2026-09-03,2026-09-22,23961.55,23950,0.67,24000,23500,24500,1743885,1172990,Leaning Bearish
2026-09-03 09:30,2026-09-03,2026-09-08,23989.55,24000,0.81,24000,23800,24000,152573720,123945380,Rangebound
2026-09-03 09:30,2026-09-03,2026-09-15,23989.55,24000,0.77,24000,23500,25000,16048760,12300600,Leaning Bearish
2026-09-03 09:30,2026-09-03,2026-09-22,23989.55,24000,0.67,24000,23500,24500,1758510,1177800,Leaning Bearish
2026-09-03 09:35,2026-09-03,2026-09-08,23993.15,24000,0.85,24000,23800,24000,152447945,129293580,Rangebound
2026-09-03 09:35,2026-09-03,2026-09-15,23993.15,24000,0.77,24000,23500,25000,16074565,12389325,Leaning Bearish
2026-09-03 09:35,2026-09-03,2026-09-22,23993.15,24000,0.67,24000,23500,24500,1762995,1177020,Leaning Bearish
2026-09-03 09:40,2026-09-03,2026-09-08,24010.9,24000,0.89,24000,24000,24000,151358870,135295355,Rangebound
2026-09-03 09:40,2026-09-03,2026-09-15,24010.9,24000,0.78,24000,23500,25000,16047785,12452830,Leaning Bearish
2026-09-03 09:40,2026-09-03,2026-09-22,24010.9,24000,0.68,24000,23500,24500,1763190,1190735,Leaning Bearish
2026-09-03 09:45,2026-09-03,2026-09-08,24021.3,24000,0.95,24000,24000,24200,147752735,140479690,Rangebound
2026-09-03 09:45,2026-09-03,2026-09-15,24021.3,24000,0.79,24050,23500,25000,15910050,12561705,Leaning Bearish
2026-09-03 09:45,2026-09-03,2026-09-22,24021.3,24000,0.69,24000,23500,24500,1744665,1209000,Leaning Bearish
2026-09-03 09:50,2026-09-03,2026-09-08,24010.1,24000,0.99,24000,24000,24200,148391425,146302520,Rangebound
2026-09-03 09:50,2026-09-03,2026-09-15,24010.1,24000,0.79,24050,23500,25000,15906930,12616955,Leaning Bearish
2026-09-03 09:50,2026-09-03,2026-09-22,24010.1,24000,0.7,24000,23500,24500,1741350,1217320,Leaning Bearish
2026-09-03 09:55,2026-09-03,2026-09-08,24006.7,24000,1.0,24000,24000,24200,148755295,148755295,Rangebound
2026-09-03 09:55,2026-09-03,2026-09-15,24006.7,24000,0.8,24050,23500,25000,15885285,12631580,Leaning Bearish
2026-09-03 09:55,2026-09-03,2026-09-22,24006.7,24000,0.7,24000,23500,24500,1744210,1227590,Leaning Bearish
2026-09-03 10:01,2026-09-03,2026-09-08,23998.3,24000,1.0,24000,24000,24200,150262905,149513975,Rangebound
2026-09-03 10:01,2026-09-03,2026-09-15,23998.3,24000,0.79,24050,23500,25000,16030885,12740975,Leaning Bearish
