strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,4875,0,N/A,3812055,312195,Short Buildup,22000-22200
22200,0,0,N/A,621465,1625,Long Buildup,22200-22400
22400,0,0,N/A,411580,157105,Short Buildup,22400-22600
22600,0,0,N/A,497835,120315,Short Buildup,22600-22800
22800,0,0,N/A,1515280,254540,Short Buildup,22800-23000
23000,47775,130,Short Buildup,7246070,1044030,Short Buildup,23000-23200
23200,5850,-260,Long Unwinding,3609645,1469975,Short Buildup,23200-23400
23400,13715,-1105,Long Unwinding,3379675,823420,Short Buildup,23400-23600
23600,38090,-7150,Long Unwinding,4835545,1497145,Short Buildup,23600-23800
23800,196820,7670,Short Buildup,8555625,2211040,Short Buildup,23800-24000
24000,2102750,409045,Short Buildup,12903150,5797480,Short Buildup,24000-24200
24200,15140905,5151185,Short Buildup,18844215,12267645,Long Buildup,24200-24400
24400,14506245,2272400,Short Buildup,2696915,434720,Long Buildup,24400-24600
24600,9487660,1473940,Short Buildup,526890,-35685,Short Covering,24600-24800
24800,7837635,502190,Short Buildup,135070,-4420,Short Covering,24800-25000
25000,11898120,566995,Short Buildup,355030,-6565,Short Covering,25000-25200
25200,6058325,574925,Long Buildup,39065,-1040,Long Unwinding,25200-25400
25400,2901015,-187915,Long Unwinding,35165,-1235,Long Unwinding,25400-25600
25600,3184935,9165,Long Buildup,1040,-65,Long Unwinding,25600-25800
25800,1425710,-358995,Long Unwinding,585,-65,Long Unwinding,25800-26000
26000,4166370,149045,Short Buildup,163735,325,Long Buildup,26000-26200
26200,166010,5915,Short Buildup,0,-65,Long Unwinding,26200-26400
26400,139685,-14235,Long Unwinding,0,0,N/A,26400-26600
26600,38935,-6240,Long Unwinding,0,0,N/A,26600-26800
26800,65845,-33930,Long Unwinding,0,0,N/A,26800-27000
27000,323115,10075,Short Buildup,0,-65,Long Unwinding,27000-27200
27200,303745,16640,Short Buildup,2080,-195,Long Unwinding,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
