strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,515320,-4875,Long Unwinding,1800825,39585,Short Buildup,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,45370,65,Short Buildup,322075,42055,Long Buildup,21600-21800
21800,130,0,N/A,287300,4355,Long Buildup,21800-22000
22000,776620,-2275,Long Unwinding,3329625,58695,Long Buildup,22000-22200
22200,260,65,Short Buildup,207350,17485,Short Buildup,22200-22400
22400,260,0,N/A,143260,7085,Short Buildup,22400-22600
22600,975,0,N/A,411970,40560,Long Buildup,22600-22800
22800,12480,6825,Short Buildup,971035,248560,Long Buildup,22800-23000
23000,619320,29120,Short Buildup,5930425,36735,Long Buildup,23000-23200
23200,56680,12870,Short Buildup,1240005,37310,Long Buildup,23200-23400
23400,142220,62205,Short Buildup,1287585,57720,Long Buildup,23400-23600
23600,774670,446225,Short Buildup,1890980,476645,Long Buildup,23600-23800
23800,2544295,342485,Short Buildup,2781350,-152295,Long Unwinding,23800-24000
24000,7926685,664040,Short Buildup,6928900,-292610,Short Covering,24000-24200
24200,3784105,-22815,Short Covering,2060695,-94835,Short Covering,24200-24400
24400,2900885,-69420,Long Unwinding,2045290,-43095,Short Covering,24400-24600
24600,1594385,-70655,Long Unwinding,723125,-11830,Short Covering,24600-24800
24800,1463280,-38155,Long Unwinding,366600,1365,Long Buildup,24800-25000
25000,6114420,-422110,Long Unwinding,2184595,-20150,Short Covering,25000-25200
25200,660465,-269360,Short Covering,94250,-1105,Long Unwinding,25200-25400
25400,275990,-31460,Short Covering,27430,-260,Long Unwinding,25400-25600
25600,216515,23205,Short Buildup,32240,0,N/A,25600-25800
25800,337675,-12805,Short Covering,20605,65,Short Buildup,25800-26000
26000,3961870,-54275,Short Covering,2053580,-20150,Short Covering,26000-26200
26200,176735,-2275,Long Unwinding,37895,65,Short Buildup,26200-26400
26400,48295,-2275,Long Unwinding,3575,-195,Long Unwinding,26400-26600
26600,57720,-975,Long Unwinding,0,0,N/A,26600-26800
26800,2600,260,Short Buildup,1300,-65,Long Unwinding,26800-27000
27000,1735695,-2210,Long Unwinding,1509980,-12805,Long Unwinding,27000-27200
27200,43485,-130,Long Unwinding,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,283530,-195,Long Unwinding,142415,0,N/A,30000-30200
