timestamp_ist,trade_date,expiry,spot,atm,pcr,max_pain,support,resistance,ce_oi_total,pe_oi_total,verdict
2026-08-21 09:15,2026-08-21,2026-08-25,24260.1,24250,1.1,24250,24000,24500,164294650,180139635,Rangebound
2026-08-21 09:15,2026-08-21,2026-09-01,24260.1,24250,1.04,24300,22000,25000,18683665,19480760,Rangebound
2026-08-21 09:15,2026-08-21,2026-09-08,24260.1,24250,1.14,24300,23500,25000,3513705,4001465,Rangebound
2026-08-21 09:18,2026-08-21,2026-08-25,24252.1,24250,1.07,24250,24000,24500,174875935,187731830,Rangebound
2026-08-21 09:18,2026-08-21,2026-09-01,24252.1,24250,1.05,24300,22000,25000,19025890,19915805,Rangebound
2026-08-21 09:18,2026-08-21,2026-09-08,24252.1,24250,1.11,24300,23500,25000,3616925,4016740,Rangebound
2026-08-21 09:20,2026-08-21,2026-08-25,24230.5,24250,1.04,24250,24000,24300,184543775,192025665,Rangebound
2026-08-21 09:20,2026-08-21,2026-09-01,24230.5,24250,1.05,24300,22000,25000,19153875,20111520,Rangebound
2026-08-21 09:20,2026-08-21,2026-09-08,24230.5,24250,1.09,24300,23500,25000,3676725,4024735,Rangebound
2026-08-21 09:25,2026-08-21,2026-08-25,24218.7,24200,0.99,24250,24000,24300,196660295,194177100,Rangebound
2026-08-21 09:25,2026-08-21,2026-09-01,24218.7,24200,1.04,24300,22000,25000,19791330,20655570,Rangebound
2026-08-21 09:25,2026-08-21,2026-09-08,24218.7,24200,1.1,24300,23500,25000,3712475,4077320,Rangebound
2026-08-21 09:30,2026-08-21,2026-08-25,24222.5,24200,0.97,24250,24200,24300,203355815,197389530,Rangebound
2026-08-21 09:30,2026-08-21,2026-09-01,24222.5,24200,1.04,24300,22000,25000,20410845,21205080,Rangebound
2026-08-21 09:30,2026-08-21,2026-09-08,24222.5,24200,1.1,24300,23500,25000,3739385,4124705,Rangebound
2026-08-21 09:35,2026-08-21,2026-08-25,24211.35,24200,0.95,24250,24200,24300,209463670,199058730,Rangebound
2026-08-21 09:35,2026-08-21,2026-09-01,24211.35,24200,1.04,24300,22000,24300,20713290,21615685,Rangebound
2026-08-21 09:35,2026-08-21,2026-09-08,24211.35,24200,1.12,24300,23500,25000,3761550,4208230,Rangebound
2026-08-21 09:40,2026-08-21,2026-08-25,24225.2,24250,0.95,24250,24200,24300,213535855,202866950,Rangebound
2026-08-21 09:40,2026-08-21,2026-09-01,24225.2,24250,1.04,24300,22000,24300,21076055,22023170,Rangebound
2026-08-21 09:40,2026-08-21,2026-09-08,24225.2,24250,1.12,24300,23500,25000,3772470,4222075,Rangebound
2026-08-21 09:45,2026-08-21,2026-08-25,24246.5,24250,0.99,24250,24200,24300,212437940,209260545,Rangebound
2026-08-21 09:45,2026-08-21,2026-09-01,24246.5,24250,1.04,24300,22000,24300,21248435,22114755,Rangebound
2026-08-21 09:45,2026-08-21,2026-09-08,24246.5,24250,1.12,24300,23500,25000,3783000,4233320,Rangebound
2026-08-21 09:50,2026-08-21,2026-08-25,24241.75,24250,1.01,24250,24200,24300,213319730,214427005,Rangebound
2026-08-21 09:50,2026-08-21,2026-09-01,24241.75,24250,1.04,24300,22000,24300,21437195,22314305,Rangebound
2026-08-21 09:50,2026-08-21,2026-09-08,24241.75,24250,1.12,24300,23500,25000,3794960,4254575,Rangebound
2026-08-21 09:54,2026-08-21,2026-08-25,24255.8,24250,1.02,24250,24200,24300,212223570,216719035,Rangebound
2026-08-21 09:54,2026-08-21,2026-09-01,24255.8,24250,1.04,24300,22000,24300,21604245,22495590,Rangebound
2026-08-21 09:54,2026-08-21,2026-09-08,24255.8,24250,1.11,24300,23500,25000,3825445,4262635,Rangebound
2026-08-21 09:55,2026-08-21,2026-08-25,24248.65,24250,1.03,24250,24200,24300,211645525,217501440,Rangebound
2026-08-21 09:55,2026-08-21,2026-09-01,24248.65,24250,1.04,24300,22000,24300,21665020,22531015,Rangebound
2026-08-21 09:55,2026-08-21,2026-09-08,24248.65,24250,1.11,24300,23500,25000,3832075,4262505,Rangebound
2026-08-21 10:00,2026-08-21,2026-08-25,24250.95,24250,1.04,24250,24200,24300,212198545,219965980,Rangebound
2026-08-21 10:00,2026-08-21,2026-09-01,24250.95,24250,1.04,24300,22000,24300,21834215,22654775,Rangebound
2026-08-21 10:00,2026-08-21,2026-09-08,24250.95,24250,1.11,24300,23500,25000,3850990,4267900,Rangebound
2026-08-21 10:05,2026-08-21,2026-08-25,24239.1,24250,1.05,24250,24200,24300,212321330,223237755,Rangebound
2026-08-21 10:05,2026-08-21,2026-09-01,24239.1,24250,1.04,24300,22000,24300,22081475,22876100,Rangebound
2026-08-21 10:05,2026-08-21,2026-09-08,24239.1,24250,1.08,24300,23500,25000,3979560,4292210,Rangebound
2026-08-21 10:10,2026-08-21,2026-08-25,24230.9,24250,1.05,24250,24200,24300,212139135,222823120,Rangebound
2026-08-21 10:10,2026-08-21,2026-09-01,24230.9,24250,1.05,24300,22500,24300,22138025,23258495,Rangebound
2026-08-21 10:10,2026-08-21,2026-09-08,24230.9,24250,1.08,24300,23500,25000,3985800,4312490,Rangebound
2026-08-21 10:15,2026-08-21,2026-08-25,24233.15,24250,1.05,24250,24200,24300,212930055,224510260,Rangebound
2026-08-21 10:15,2026-08-21,2026-09-01,24233.15,24250,1.05,24300,22500,24300,22548565,23588890,Rangebound
2026-08-21 10:15,2026-08-21,2026-09-08,24233.15,24250,1.08,24300,23500,25000,3987685,4325230,Rangebound
2026-08-21 10:20,2026-08-21,2026-08-25,24232.0,24250,1.05,24250,24200,24300,214617650,225250675,Rangebound
2026-08-21 10:20,2026-08-21,2026-09-01,24232.0,24250,1.05,24300,22500,24300,22657375,23718175,Rangebound
2026-08-21 10:20,2026-08-21,2026-09-08,24232.0,24250,1.09,24300,23500,25000,4007770,4371510,Rangebound
2026-08-21 10:25,2026-08-21,2026-08-25,24242.95,24250,1.05,24250,24200,24300,214788210,226379660,Rangebound
2026-08-21 10:25,2026-08-21,2026-09-01,24242.95,24250,1.05,24300,22500,24300,22744930,23882105,Rangebound
2026-08-21 10:25,2026-08-21,2026-09-08,24242.95,24250,1.09,24300,23500,25000,4019535,4391595,Rangebound
2026-08-21 10:30,2026-08-21,2026-08-25,24253.35,24250,1.09,24250,24200,24300,209698970,229144045,Rangebound
2026-08-21 10:30,2026-08-21,2026-09-01,24253.35,24250,1.05,24300,22500,24300,22897745,24121500,Rangebound
2026-08-21 10:30,2026-08-21,2026-09-08,24253.35,24250,1.09,24300,23500,25000,4025840,4401800,Rangebound
2026-08-21 10:33,2026-08-21,2026-08-25,24250.25,24250,1.11,24250,24200,24300,209422720,232146785,Rangebound
2026-08-21 10:33,2026-08-21,2026-09-01,24250.25,24250,1.05,24300,22500,24300,22954555,24211330,Rangebound
2026-08-21 10:33,2026-08-21,2026-09-08,24250.25,24250,1.09,24300,23500,25000,4029415,4406090,Rangebound
2026-08-21 10:35,2026-08-21,2026-08-25,24249.65,24250,1.11,24250,24200,24300,209525030,233253995,Rangebound
2026-08-21 10:35,2026-08-21,2026-09-01,24249.65,24250,1.05,24300,22500,24300,22988095,24241360,Rangebound
2026-08-21 10:35,2026-08-21,2026-09-08,24249.65,24250,1.09,24300,23500,25000,4034485,4410250,Rangebound
2026-08-21 10:40,2026-08-21,2026-08-25,24250.15,24250,1.11,24250,24200,24300,209997580,234128375,Rangebound
