strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,0,0,N/A,22200-22400
22400,0,0,N/A,27365,2860,Short Buildup,22400-22600
22600,0,0,N/A,14365,3510,Short Buildup,22600-22800
22800,0,0,N/A,32955,975,Short Buildup,22800-23000
23000,0,0,N/A,213005,59735,Long Buildup,23000-23200
23200,260,65,Short Buildup,76375,7930,Long Buildup,23200-23400
23400,0,0,N/A,0,0,N/A,23400-23600
23600,1040,-65,Long Unwinding,256555,22230,Short Buildup,23600-23800
23800,8710,1885,Short Buildup,169195,27040,Long Buildup,23800-24000
24000,79885,1950,Short Buildup,397995,46150,Long Buildup,24000-24200
24200,229580,4290,Short Buildup,254670,5070,Long Buildup,24200-24400
24400,173355,9100,Short Buildup,135850,10205,Long Buildup,24400-24600
24600,228735,29900,Short Buildup,37700,1300,Short Buildup,24600-24800
24800,240825,33670,Short Buildup,6565,1430,Short Buildup,24800-25000
25000,1232725,347035,Short Buildup,7605,-325,Long Unwinding,25000-25200
25200,0,0,N/A,520,65,Short Buildup,25200-25400
25400,0,0,N/A,0,0,N/A,25400-25600
25600,165360,13650,Short Buildup,0,0,N/A,25600-25800
25800,4745,130,Short Buildup,0,0,N/A,25800-26000
26000,88920,13845,Short Buildup,0,-65,Long Unwinding,26000-26200
26200,3965,-650,Long Unwinding,0,0,N/A,26200-26400
26400,16250,3705,Long Buildup,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
