strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,0,0,N/A,22200-22400
22400,0,0,N/A,256555,42900,Short Buildup,22400-22600
22600,0,0,N/A,28925,195,Short Buildup,22600-22800
22800,0,0,N/A,43030,2275,Long Buildup,22800-23000
23000,130,0,N/A,364130,21710,Long Buildup,23000-23200
23200,1235,65,Short Buildup,237315,66365,Long Buildup,23200-23400
23400,0,0,N/A,213265,-1170,Short Covering,23400-23600
23600,2990,0,N/A,955565,159510,Short Buildup,23600-23800
23800,14625,130,Short Buildup,470730,98410,Long Buildup,23800-24000
24000,158600,8190,Short Buildup,650260,99970,Long Buildup,24000-24200
24200,422305,-2405,Short Covering,814775,74815,Long Buildup,24200-24400
24400,434265,61100,Short Buildup,305890,79820,Short Buildup,24400-24600
24600,858585,60970,Short Buildup,90155,23790,Short Buildup,24600-24800
24800,1214395,48490,Short Buildup,12285,1560,Long Buildup,24800-25000
25000,1417130,90740,Short Buildup,34645,-2600,Long Unwinding,25000-25200
25200,0,0,N/A,520,65,Long Buildup,25200-25400
25400,73970,45825,Short Buildup,0,0,N/A,25400-25600
25600,483665,-16900,Long Unwinding,0,0,N/A,25600-25800
25800,41600,3315,Short Buildup,0,0,N/A,25800-26000
26000,234390,46800,Short Buildup,130,65,Short Buildup,26000-26200
26200,4810,455,Short Buildup,0,0,N/A,26200-26400
26400,28340,390,Short Buildup,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
