strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,10075,-65,Long Unwinding,2311205,17485,Short Buildup,21200-21400
21400,65,-65,Long Unwinding,45500,650,Short Buildup,21400-21600
21600,0,0,N/A,48035,2275,Short Buildup,21600-21800
21800,65,-65,Long Unwinding,64090,-195,Long Unwinding,21800-22000
22000,652795,-3120,Long Unwinding,2698150,-40365,Long Unwinding,22000-22200
22200,325,-65,Long Unwinding,342810,10725,Short Buildup,22200-22400
22400,2145,-130,Long Unwinding,165880,-6175,Long Unwinding,22400-22600
22600,1820,0,N/A,117390,-2990,Short Covering,22600-22800
22800,5265,0,N/A,432510,-2145,Long Unwinding,22800-23000
23000,447005,-1170,Long Unwinding,4114500,117390,Short Buildup,23000-23200
23200,24050,65,Short Buildup,702650,31655,Short Buildup,23200-23400
23400,20800,0,N/A,730860,-178685,Short Covering,23400-23600
23600,215995,780,Short Buildup,1646060,147940,Long Buildup,23600-23800
23800,490360,10010,Short Buildup,3138980,318890,Long Buildup,23800-24000
24000,5651425,71175,Short Buildup,9626305,-27885,Short Covering,24000-24200
24200,1488435,193635,Short Buildup,3502590,248300,Long Buildup,24200-24400
24400,3943225,713700,Short Buildup,3402035,90220,Long Buildup,24400-24600
24600,3650205,622180,Short Buildup,1435720,-52585,Short Covering,24600-24800
24800,4120025,467610,Short Buildup,571545,5070,Long Buildup,24800-25000
25000,9297730,476320,Short Buildup,2089685,-11570,Short Covering,25000-25200
25200,2179385,152685,Short Buildup,114400,0,N/A,25200-25400
25400,1000285,-26325,Long Unwinding,20150,65,Short Buildup,25400-25600
25600,1135355,145405,Short Buildup,16185,-65,Long Unwinding,25600-25800
25800,1158690,-4290,Long Unwinding,12480,260,Short Buildup,25800-26000
26000,5946200,323180,Long Buildup,2191150,-1105,Short Covering,26000-26200
26200,435110,4095,Short Buildup,44200,0,N/A,26200-26400
26400,263705,0,N/A,65,-65,Long Unwinding,26400-26600
26600,54600,585,Short Buildup,0,0,N/A,26600-26800
26800,28080,260,Short Buildup,65,-65,Long Unwinding,26800-27000
27000,105885,4225,Short Buildup,42120,325,Short Buildup,27000-27200
27200,196040,130,Long Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
