strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,0,0,N/A,0,0,N/A,21600-21800
21800,0,0,N/A,0,0,N/A,21800-22000
22000,0,0,N/A,0,0,N/A,22000-22200
22200,0,0,N/A,0,0,N/A,22200-22400
22400,0,0,N/A,140335,49530,Short Buildup,22400-22600
22600,0,0,N/A,64480,27300,Long Buildup,22600-22800
22800,0,0,N/A,133770,74815,Short Buildup,22800-23000
23000,1820,1365,Long Buildup,543465,3510,Long Buildup,23000-23200
23200,0,0,N/A,66430,66430,Long Buildup,23200-23400
23400,650,650,Long Buildup,403195,56615,Long Buildup,23400-23600
23600,22555,20410,Short Buildup,291720,91975,Long Buildup,23600-23800
23800,219440,189670,Short Buildup,563875,164710,Long Buildup,23800-24000
24000,872950,216190,Short Buildup,707915,-24830,Short Covering,24000-24200
24200,1267565,148720,Short Buildup,549055,-19695,Short Covering,24200-24400
24400,543140,77350,Short Buildup,101205,845,Long Buildup,24400-24600
24600,621205,85085,Short Buildup,23010,-585,Long Unwinding,24600-24800
24800,404950,-334555,Long Unwinding,2535,130,Short Buildup,24800-25000
25000,2041520,171925,Short Buildup,5980,845,Short Buildup,25000-25200
25200,138710,128830,Short Buildup,0,-130,Long Unwinding,25200-25400
25400,31525,13715,Short Buildup,0,0,N/A,25400-25600
25600,32955,5590,Short Buildup,0,0,N/A,25600-25800
25800,43290,5980,Short Buildup,0,0,N/A,25800-26000
26000,111995,7865,Short Buildup,585,-65,Long Unwinding,26000-26200
26200,26065,5720,Short Buildup,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
