strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,403845,-910,Long Unwinding,10648430,-404820,Long Unwinding,21000-21200
21200,0,0,N/A,83005,64480,Short Buildup,21200-21400
21400,65,0,N/A,3179410,524160,Long Buildup,21400-21600
21600,41860,0,N/A,1392560,193570,Long Buildup,21600-21800
21800,260,195,Short Buildup,3439020,1128595,Short Buildup,21800-22000
22000,629070,-5590,Long Unwinding,13147030,1014390,Short Buildup,22000-22200
22200,6110,-1625,Long Unwinding,3807245,317525,Long Buildup,22200-22400
22400,7735,1950,Short Buildup,3619200,448955,Long Buildup,22400-22600
22600,55640,-3705,Long Unwinding,4434040,1004380,Short Buildup,22600-22800
22800,516815,128050,Short Buildup,9662835,2507180,Long Buildup,22800-23000
23000,6712550,2826590,Short Buildup,19371195,7613645,Long Buildup,23000-23200
23200,16791450,4842175,Short Buildup,7004335,2151890,Long Buildup,23200-23400
23400,11685960,1163695,Short Buildup,3949400,-79105,Short Covering,23400-23600
23600,8671520,588835,Short Buildup,1433900,-16770,Short Covering,23600-23800
23800,8275670,1175200,Long Buildup,1253200,-81705,Short Covering,23800-24000
24000,16740490,-2669355,Short Covering,4370380,-237055,Short Covering,24000-24200
24200,8560045,-480610,Long Unwinding,1085760,-24830,Short Covering,24200-24400
24400,4020640,-53430,Short Covering,1383980,-68315,Short Covering,24400-24600
24600,3417830,-95810,Long Unwinding,552890,-11180,Short Covering,24600-24800
24800,3175770,-382070,Long Unwinding,231140,-10140,Long Unwinding,24800-25000
25000,10725325,-560950,Long Unwinding,1349190,-14105,Short Covering,25000-25200
25200,670995,44590,Short Buildup,71500,-520,Long Unwinding,25200-25400
25400,214175,-2080,Short Covering,21385,260,Short Buildup,25400-25600
25600,218400,8905,Short Buildup,29120,0,N/A,25600-25800
25800,395655,19240,Short Buildup,19240,-325,Long Unwinding,25800-26000
26000,3200095,39390,Short Buildup,1413460,-51025,Long Unwinding,26000-26200
26200,168350,-1755,Long Unwinding,35620,-65,Long Unwinding,26200-26400
26400,20150,455,Short Buildup,2860,130,Short Buildup,26400-26600
26600,40950,1950,Short Buildup,0,0,N/A,26600-26800
26800,25675,14040,Short Buildup,1300,-65,Long Unwinding,26800-27000
27000,1636830,-17160,Long Unwinding,1234770,-14040,Long Unwinding,27000-27200
27200,235820,24505,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,276935,-1920,Long Unwinding,121875,-650,Short Covering,30000-30200
