strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,563485,523705,Short Buildup,21000-21200
21200,0,0,N/A,78520,78520,Short Buildup,21200-21400
21400,0,0,N/A,1271855,22750,Short Buildup,21400-21600
21600,0,0,N/A,161330,35425,Short Buildup,21600-21800
21800,0,0,N/A,360555,9750,Short Buildup,21800-22000
22000,41990,5915,Short Buildup,924820,227500,Short Buildup,22000-22200
22200,0,0,N/A,1039285,625300,Short Buildup,22200-22400
22400,65,65,Short Buildup,605020,47710,Short Buildup,22400-22600
22600,63635,43355,Short Buildup,1240005,244595,Short Buildup,22600-22800
22800,179855,37700,Short Buildup,1055470,152750,Short Buildup,22800-23000
23000,1042665,457080,Long Buildup,2088320,636480,Short Buildup,23000-23200
23200,2135315,671645,Short Buildup,1543100,393965,Short Buildup,23200-23400
23400,2056535,425230,Long Buildup,856960,72930,Short Buildup,23400-23600
23600,1135225,-25350,Short Covering,127140,4745,Short Buildup,23600-23800
23800,1074190,161850,Long Buildup,120185,32695,Short Buildup,23800-24000
24000,1920945,143910,Long Buildup,156780,27235,Long Buildup,24000-24200
24200,608335,4290,Short Buildup,8255,5005,Long Buildup,24200-24400
24400,334425,84825,Short Buildup,7605,3900,Short Buildup,24400-24600
24600,471965,258960,Short Buildup,2015,975,Short Buildup,24600-24800
24800,576875,293150,Short Buildup,15405,65,Short Buildup,24800-25000
25000,1619020,1226355,Short Buildup,19890,7150,Short Buildup,25000-25200
25200,30160,6630,Short Buildup,0,0,N/A,25200-25400
25400,10465,-1690,Long Unwinding,0,-65,Long Unwinding,25400-25600
25600,74685,65195,Short Buildup,0,0,N/A,25600-25800
25800,116090,26455,Short Buildup,1040,390,Short Buildup,25800-26000
26000,0,0,N/A,0,0,N/A,26000-26200
26200,0,0,N/A,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
