strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,15860,2275,Short Buildup,21400-21600
21600,0,0,N/A,15210,975,Long Buildup,21600-21800
21800,0,0,N/A,21970,-4420,Short Covering,21800-22000
22000,9490,0,N/A,212940,18135,Short Buildup,22000-22200
22200,0,0,N/A,143715,-390,Long Unwinding,22200-22400
22400,0,0,N/A,84955,11570,Short Buildup,22400-22600
22600,65,65,Short Buildup,208325,38415,Short Buildup,22600-22800
22800,1950,65,Short Buildup,171600,1625,Short Buildup,22800-23000
23000,112645,650,Long Buildup,609180,36140,Short Buildup,23000-23200
23200,94185,650,Long Buildup,174265,-3835,Long Unwinding,23200-23400
23400,340210,3575,Long Buildup,335725,23400,Short Buildup,23400-23600
23600,227370,19500,Long Buildup,110500,5850,Short Buildup,23600-23800
23800,312780,-25805,Short Covering,24180,1755,Short Buildup,23800-24000
24000,1355445,-21125,Short Covering,45825,910,Short Buildup,24000-24200
24200,283335,5265,Long Buildup,195,-65,Long Unwinding,24200-24400
24400,132405,8125,Long Buildup,0,-130,Long Unwinding,24400-24600
24600,141700,9490,Short Buildup,0,0,N/A,24600-24800
24800,35360,5980,Short Buildup,0,0,N/A,24800-25000
25000,141115,3315,Short Buildup,4745,65,Short Buildup,25000-25200
25200,3510,130,Short Buildup,0,0,N/A,25200-25400
25400,2210,0,N/A,0,0,N/A,25400-25600
25600,3055,65,Long Buildup,0,0,N/A,25600-25800
25800,57330,0,N/A,0,0,N/A,25800-26000
26000,0,0,N/A,0,0,N/A,26000-26200
26200,0,0,N/A,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
