strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,517465,1625,Long Buildup,2088255,32305,Long Buildup,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,0,0,N/A,21400-21600
21600,45175,-65,Long Unwinding,584675,105690,Long Buildup,21600-21800
21800,130,0,N/A,470080,139945,Long Buildup,21800-22000
22000,796640,7995,Long Buildup,3110250,105820,Long Buildup,22000-22200
22200,130,65,Short Buildup,327535,81120,Long Buildup,22200-22400
22400,195,0,N/A,283595,95420,Short Buildup,22400-22600
22600,1365,390,Short Buildup,586430,133185,Short Buildup,22600-22800
22800,124475,110565,Long Buildup,1190735,195,Short Buildup,22800-23000
23000,857545,126035,Long Buildup,5778540,-168820,Long Unwinding,23000-23200
23200,338065,252200,Long Buildup,1338675,30550,Short Buildup,23200-23400
23400,1428570,263900,Long Buildup,1826045,48815,Short Buildup,23400-23600
23600,1291940,280865,Long Buildup,1608945,-155675,Long Unwinding,23600-23800
23800,2985905,44980,Long Buildup,2048800,-127010,Long Unwinding,23800-24000
24000,8584810,280280,Long Buildup,6353150,-129340,Long Unwinding,24000-24200
24200,3552380,-12415,Short Covering,1943565,-19110,Long Unwinding,24200-24400
24400,2960750,112840,Long Buildup,1983475,-15860,Long Unwinding,24400-24600
24600,1642160,-33605,Long Unwinding,695695,-1105,Long Unwinding,24600-24800
24800,1117350,-258375,Long Unwinding,353340,-130,Long Unwinding,24800-25000
25000,5689385,-167245,Long Unwinding,2095490,-48165,Long Unwinding,25000-25200
25200,532935,1820,Short Buildup,85670,-4355,Long Unwinding,25200-25400
25400,225290,-1235,Long Unwinding,26975,-130,Long Unwinding,25400-25600
25600,166400,-10140,Long Unwinding,31655,0,N/A,25600-25800
25800,318565,-8710,Long Unwinding,20735,-65,Long Unwinding,25800-26000
26000,3902330,-45045,Long Unwinding,2025630,-5850,Long Unwinding,26000-26200
26200,184080,5460,Short Buildup,37830,65,Short Buildup,26200-26400
26400,44655,-1820,Long Unwinding,3770,130,Short Buildup,26400-26600
26600,43160,-1235,Long Unwinding,0,0,N/A,26600-26800
26800,2665,65,Short Buildup,1300,-65,Long Unwinding,26800-27000
27000,1724645,-22230,Long Unwinding,1506275,-5005,Long Unwinding,27000-27200
27200,42120,65,Short Buildup,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,281515,-4810,Long Unwinding,141570,-130,Long Unwinding,30000-30200
