strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,0,0,N/A,0,0,N/A,21200-21400
21400,0,0,N/A,2940210,141115,Long Buildup,21400-21600
21600,0,0,N/A,536575,-4160,Short Covering,21600-21800
21800,0,-65,Long Unwinding,2867020,-6500,Short Covering,21800-22000
22000,21710,780,Short Buildup,10314200,-603265,Long Unwinding,22000-22200
22200,2665,0,N/A,5062915,1264640,Short Buildup,22200-22400
22400,2990,195,Short Buildup,4190095,1013415,Short Buildup,22400-22600
22600,41470,-2470,Long Unwinding,5252910,591630,Short Buildup,22600-22800
22800,122200,18720,Long Buildup,7087990,1705990,Short Buildup,22800-23000
23000,994305,88205,Long Buildup,13154245,3501550,Short Buildup,23000-23200
23200,5089110,1762150,Long Buildup,15117895,6418880,Short Buildup,23200-23400
23400,17431310,10908170,Long Buildup,6262295,3282435,Short Buildup,23400-23600
23600,10509395,3841890,Long Buildup,891670,141570,Short Buildup,23600-23800
23800,10385570,2017730,Long Buildup,478855,-5525,Long Unwinding,23800-24000
24000,12265370,1955525,Short Buildup,887770,-156130,Long Unwinding,24000-24200
24200,6505460,1096550,Short Buildup,172380,-5785,Long Unwinding,24200-24400
24400,3123315,469040,Short Buildup,114205,-2730,Long Unwinding,24400-24600
24600,2465255,286195,Short Buildup,47255,-65,Long Unwinding,24600-24800
24800,4070235,1807260,Short Buildup,23595,-130,Long Unwinding,24800-25000
25000,5035355,827125,Long Buildup,67080,-2730,Long Unwinding,25000-25200
25200,639535,7930,Long Buildup,4095,-65,Long Unwinding,25200-25400
25400,226655,24765,Long Buildup,1495,-520,Long Unwinding,25400-25600
25600,88855,-2080,Long Unwinding,260,0,N/A,25600-25800
25800,860600,-12740,Long Unwinding,520,-65,Long Unwinding,25800-26000
26000,1501565,6435,Long Buildup,68705,-650,Long Unwinding,26000-26200
26200,0,0,N/A,0,0,N/A,26200-26400
26400,0,0,N/A,0,0,N/A,26400-26600
26600,0,0,N/A,0,0,N/A,26600-26800
26800,0,0,N/A,0,0,N/A,26800-27000
27000,0,0,N/A,0,0,N/A,27000-27200
27200,0,0,N/A,0,0,N/A,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
