strike,ce_oi,ce_chg_oi,ce_buildup,pe_oi,pe_chg_oi,pe_buildup,zone_200pt
21000,0,0,N/A,0,0,N/A,21000-21200
21200,7345,-195,Long Unwinding,2390115,-342225,Long Unwinding,21200-21400
21400,65,0,N/A,627185,26715,Short Buildup,21400-21600
21600,0,0,N/A,187655,-23465,Long Unwinding,21600-21800
21800,65,0,N/A,250315,-95810,Long Unwinding,21800-22000
22000,359450,-71110,Long Unwinding,3459040,-435305,Short Covering,22000-22200
22200,390,65,Short Buildup,374465,-257790,Long Unwinding,22200-22400
22400,2015,0,N/A,332475,-24895,Long Unwinding,22400-22600
22600,2275,0,N/A,257660,-85930,Long Unwinding,22600-22800
22800,4550,-130,Long Unwinding,1094535,-393835,Short Covering,22800-23000
23000,227175,-27690,Long Unwinding,8025030,-3528460,Short Covering,23000-23200
23200,16705,-2600,Long Unwinding,3372915,-533195,Long Unwinding,23200-23400
23400,25350,-3185,Long Unwinding,4116450,69420,Short Buildup,23400-23600
23600,221130,-8255,Long Unwinding,3917030,-1230710,Short Covering,23600-23800
23800,547235,-62140,Long Unwinding,6878430,-538850,Short Covering,23800-24000
24000,6406985,551720,Short Buildup,18569005,829465,Long Buildup,24000-24200
24200,26419965,17572685,Short Buildup,21879455,6831500,Long Buildup,24200-24400
24400,17871360,8553480,Short Buildup,4304235,1187030,Long Buildup,24400-24600
24600,12412140,3915600,Long Buildup,816465,-57070,Short Covering,24600-24800
24800,9505990,2300285,Short Buildup,370045,-30290,Short Covering,24800-25000
25000,14237015,2486835,Short Buildup,1279395,-54405,Short Covering,25000-25200
25200,6548230,1445275,Short Buildup,85345,-8970,Long Unwinding,25200-25400
25400,4624035,78065,Short Buildup,34775,-1430,Long Unwinding,25400-25600
25600,2674035,-783185,Long Unwinding,12025,-1495,Long Unwinding,25600-25800
25800,1050270,-370045,Long Unwinding,8385,-2470,Long Unwinding,25800-26000
26000,4203160,-827840,Long Unwinding,1336790,-214110,Short Covering,26000-26200
26200,217230,-119795,Short Covering,34125,-6500,Long Unwinding,26200-26400
26400,162890,-6630,Long Unwinding,65,-65,Long Unwinding,26400-26600
26600,56940,-3055,Long Unwinding,0,0,N/A,26600-26800
26800,58760,-5850,Long Unwinding,65,-65,Long Unwinding,26800-27000
27000,219440,27495,Long Buildup,40300,-910,Short Covering,27000-27200
27200,307125,-33215,Short Covering,1040,-130,Long Unwinding,27200-27400
27400,0,0,N/A,0,0,N/A,27400-27600
27600,0,0,N/A,0,0,N/A,27600-27800
27800,0,0,N/A,0,0,N/A,27800-28000
28000,0,0,N/A,0,0,N/A,28000-28200
28200,0,0,N/A,0,0,N/A,28200-28400
28400,0,0,N/A,0,0,N/A,28400-28600
28600,0,0,N/A,0,0,N/A,28600-28800
28800,0,0,N/A,0,0,N/A,28800-29000
29000,0,0,N/A,0,0,N/A,29000-29200
29200,0,0,N/A,0,0,N/A,29200-29400
29400,0,0,N/A,0,0,N/A,29400-29600
29600,0,0,N/A,0,0,N/A,29600-29800
29800,0,0,N/A,0,0,N/A,29800-30000
30000,0,0,N/A,0,0,N/A,30000-30200
